Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
75138,10509072,HZ250749,5/4/2016 8:48,049XX S LAFLIN ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,FALSE,TRUE,933,9,16,61,04B,1167175,1871806,2016,5/11/2016 15:50,41.80379148,-87.6624105,"(41.803791478, -87.662410496)"
76788,10509074,HZ250674,5/4/2016 7:06,040XX W 31ST ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,ALLEY,TRUE,FALSE,1031,10,22,30,24,1149754,1883727,2016,5/11/2016 15:50,41.83685977,-87.72599366,"(41.836859767, -87.725993659)"
76983,10509093,HZ250731,5/4/2016 0:00,064XX S YALE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,FALSE,FALSE,722,7,20,68,7,1175613,1862240,2016,5/11/2016 15:50,41.77735648,-87.63175052,"(41.77735648, -87.631750523)"
77005,10509095,HZ250633,5/4/2016 6:20,067XX S THROOP ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,724,7,17,67,6,1168817,1860176,2016,5/11/2016 15:50,41.77184205,-87.65672412,"(41.771842053, -87.656724119)"
77027,10509099,HZ250779,5/4/2016 9:03,003XX N CENTRAL AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,1523,15,28,25,18,1138983,1901704,2016,5/11/2016 15:50,41.88639335,-87.76508077,"(41.886393351, -87.765080772)"
77180,10509106,HZ250804,5/4/2016 9:40,055XX W CORCORAN PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1523,15,28,25,18,1139214,1902011,2016,5/11/2016 15:50,41.8872316,-87.76422499,"(41.887231597, -87.764224994)"
77722,10509108,HZ250691,5/4/2016 7:50,065XX S MORGAN ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,TRUE,TRUE,723,7,17,68,26,1170769,1861488,2016,5/11/2016 15:50,41.77539998,-87.64953048,"(41.775399976, -87.649530478)"
77788,10509116,HZ250649,5/4/2016 7:00,039XX W ROOSEVELT RD,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,TRUE,FALSE,1132,11,24,29,24,1150472,1894425,2016,5/11/2016 15:50,41.86620244,-87.72308003,"(41.866202441, -87.723080029)"
77811,10509131,HZ250778,5/4/2016 5:30,066XX S ABERDEEN ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,724,7,17,68,3,1170123,1860875,2016,5/11/2016 15:50,41.7737319,-87.65191644,"(41.7737319, -87.651916442)"
78074,10509132,HZ250606,5/4/2016 3:50,047XX N KNOX AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1722,17,45,16,08B,1144516,1931041,2016,5/11/2016 15:50,41.96679462,-87.74402158,"(41.966794623, -87.744021578)"
78380,10509140,HZ250740,5/4/2016 0:30,011XX N CLARK ST,860,THEFT,RETAIL THEFT,DRUG STORE,TRUE,FALSE,1824,18,42,8,6,1175324,1908199,2016,5/11/2016 15:50,41.90347807,-87.6314331,"(41.903478069, -87.631433102)"
78423,10509170,HZ250727,5/4/2016 8:15,010XX W 111TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,2234,22,34,75,3,1171468,1831207,2016,5/11/2016 15:50,41.69228943,-87.64785213,"(41.692289426, -87.647852131)"
78791,10509181,HZ250839,5/4/2016 10:14,064XX S DR MARTIN LUTHER KING JR DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,312,3,20,42,08B,1180029,1862350,2016,5/11/2016 15:50,41.77755833,-87.61555825,"(41.777558327, -87.615558249)"
79179,10509194,HZ250788,5/4/2016 9:00,083XX S MACKINAW AVE,610,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,FALSE,424,4,10,46,5,1199922,1850239,2016,5/11/2016 15:50,41.74384622,-87.54303978,"(41.743846218, -87.543039776)"
79289,10509195,HZ250808,5/4/2016 9:40,010XX E 130TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,533,5,9,54,08B,1185547,1819411,2016,5/11/2016 15:50,41.65960058,-87.59667637,"(41.65960058, -87.596676366)"
79683,10509201,HZ250829,5/4/2016 9:50,059XX S WINCHESTER AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,714,7,15,67,08A,1164376,1865179,2016,5/11/2016 15:50,41.78566567,-87.67286259,"(41.785665665, -87.672862591)"
79984,10509202,HZ250772,5/4/2016 6:00,042XX N DRAKE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1723,17,33,16,08B,1151965,1927886,2016,5/11/2016 15:50,41.95799323,-87.71671595,"(41.957993231, -87.716715948)"
80443,10509203,HZ509883,5/4/2016 10:00,099XX S CALHOUN AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,431,4,7,51,6,1194794,1839526,2016,5/11/2016 15:50,41.71457649,-87.56218047,"(41.714576492, -87.562180472)"
